filters,dropout,lr,val_auc
64,0.5,0.001,0.5367307662963867
32,0.3,0.0001,0.533757209777832
32,0.3,0.0001,0.5324180722236633
128,0.2,0.0001,0.5315753221511841
64,0.5,0.001,0.5313475131988525
64,0.3,0.0005,0.528467059135437
128,0.3,0.0005,0.5266106128692627
32,0.3,0.0001,0.5263676643371582
32,0.2,0.0001,0.5261332392692566
32,0.3,0.005,0.5255732536315918
32,0.5,0.0005,0.5255457162857056
32,0.1,0.001,0.5234349370002747
64,0.5,0.001,0.5231844186782837
128,0.2,0.0001,0.5228436589241028
128,0.1,0.005,0.5223254561424255
32,0.5,0.001,0.5205127000808716
32,0.3,0.0001,0.5186971426010132
32,0.3,0.001,0.5175002813339233
128,0.5,0.0005,0.5171453356742859
64,0.1,0.0005,0.5076041221618652
